,Returns,Sharpes,Annualised Returns,Maximum Drawdowns
0,7.08,0.0,4.66,-7.004
1,3.71,-0.02,2.46,-3.856
2,1.24,-0.031,0.82,-7.568
3,7.2,0.001,4.74,-7.528
4,-6.39,-0.083,-4.31,-9.415
5,9.57,0.015,6.28,-5.236
6,-3.12,-0.054,-2.09,-10.377
7,4.96,-0.011,3.28,-4.141
8,2.66,-0.021,1.76,-6.955
9,-4.08,-0.069,-2.74,-10.367
10,0.48,-0.036,0.32,-7.216
11,1.21,-0.033,0.81,-7.492
12,2.08,-0.028,1.38,-7.572
13,5.5,-0.008,3.63,-5.094
14,1.37,-0.034,0.91,-8.944
15,2.95,-0.024,1.96,-5.373
16,5.26,-0.01,3.48,-4.12
17,3.27,-0.018,2.17,-7.736
18,-1.03,-0.049,-0.69,-10.228
19,-0.9,-0.047,-0.6,-7.521
20,8.48,0.008,5.57,-3.391
21,6.85,-0.001,4.52,-6.284
22,8.44,0.008,5.55,-4.534
23,-2.99,-0.062,-2.0,-8.878
24,6.24,-0.003,4.12,-6.304
